region,source_zone,mean_time,max_time,total_demand,cold_demand,total_cap,cold_cap,gap_ratio,cold_violation_ratio,avg_cost,norm_time,norm_cost,norm_gap,norm_cold,risk_score,risk_label,is_bottleneck
Rize,A,125.68452380952381,172.61904761904762,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.671153292315748,0.0,0.6971953402099772,1.0,56.05045897577176,HIGH,False
Rize,B,27.529761904761905,52.38095238095238,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.07536326744338263,0.0,0.6971953402099772,1.0,38.17675822960079,LOW,False
Rize,C,30.148809523809526,76.19047619047619,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.09126063620892787,0.0,0.6971953402099772,1.0,38.653679292567155,LOW,False
Rize,D,49.55357142857143,95.23809523809524,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.20904568660819478,0.0,0.6971953402099772,1.0,42.18723080454516,LOW,False
Rize,E,47.11309523809524,95.23809523809524,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.19423222934939127,0.0,0.6971953402099772,1.0,41.742827086781055,LOW,False
Rize,F,26.309523809523814,52.38095238095238,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.06795653881398091,0.0,0.6971953402099772,1.0,37.95455637071875,LOW,False
Rize,G,35.50595238095239,60.714285714285715,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.1237779814111795,0.0,0.6971953402099772,1.0,39.6291996486347,LOW,False
Rize,H,125.71428571428571,173.80952380952382,3469873.0,8980.0,551432.0,2968.0,5.292476678901479,2.0,4.44375,0.6713339442335383,0.0,0.6971953402099772,1.0,56.05587853330547,HIGH,False
Trabzon,A,29.938708156529938,96.42857142857143,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.08998534098729939,1.0,0.0,0.0,27.69956022961898,LOW,False
Trabzon,B,34.818481848184824,92.85714285714286,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.11960510097350882,1.0,0.0,0.0,28.588153029205266,LOW,False
Trabzon,C,92.56247053276758,152.38095238095238,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.47010559414365316,1.0,0.0,0.0,39.103167824309594,LOW,False
