model,accuracy,precision,recall,f1_weighted,roc_auc_mean,roc_auc_std
XGBoost,0.9766,0.9769,0.9766,0.9766,0.9982,0.002
Random Forest,0.9375,0.94,0.9375,0.9374,0.9895,0.0051
